Date,Close,High,Low,Open,Volume,Peaklabel
2021-01-25,13.616490364074707,13.791268582362697,13.200862448103909,13.744644381415306,251112000,0
2021-01-26,13.399072647094727,13.608007878931451,13.351450753678673,13.543930895082182,163980000,0
2021-01-27,12.88296890258789,13.197120336526261,12.759302228716475,13.194377345328904,371272000,-1
2021-01-28,13.015856742858887,13.303829862047177,12.925600557222289,12.961254679956221,228316000,0
2021-01-29,12.954774856567383,13.298846206386626,12.876735614077164,13.039795221041222,271552000,0
2021-02-01,13.201358795166016,13.235017502136003,12.868008340793473,13.018103404390654,217204000,0
2021-02-02,13.52025032043457,13.535458515911492,13.24972990674388,13.362675724709815,220440000,0
2021-02-03,13.49406909942627,13.894238606614207,13.480106855752563,13.599284306794123,245408000,0
2021-02-04,13.627459526062012,13.636684308573134,13.3018386846858,13.494568064385389,201340000,0
2021-02-05,13.55440616607666,13.700263114335508,13.509278061476316,13.688046150425723,169152000,0
2021-02-08,14.399871826171875,14.434777431390412,13.690287476293078,13.690287476293078,434624000,0
2021-02-09,14.224845886230469,14.543983966998393,14.184205105315854,14.302136605169043,287560000,0
2021-02-10,14.724496841430664,14.864867801501441,14.302885581394381,14.42430764598324,485352000,0
2021-02-11,15.209685325622559,15.231128020471543,14.884813043180692,14.939914444084707,450828000,0
2021-02-12,14.920964241027832,15.250075576024784,14.735215070429229,15.009475150330932,374756000,0
2021-02-16,15.288971900939941,15.331108771075836,14.909745776355733,15.023688331990344,321960000,1
2021-02-17,14.865863800048828,15.18250900428162,14.74020266811009,15.130149644495065,274756000,0
2021-02-18,14.78907299041748,14.833203381962377,14.535756230278762,14.689341862664408,233868000,0
2021-02-19,14.886311531066895,15.136136799537871,14.8067761927287,14.98404724530722,271724000,0
2021-02-22,14.317096710205078,15.092503415652395,14.286429231767997,14.734968210445974,325884000,0
2021-02-23,14.10391902923584,14.200408762334892,13.353444806853002,14.037348246694668,391780000,0
2021-02-24,14.4599609375,14.467690580363728,13.718961439777777,14.084724678061631,448320000,0
2021-02-25,13.271669387817383,14.336046063929711,13.180665611434383,14.007682236108677,824436000,-1
2021-02-26,13.677573204040527,13.817195635830556,13.325024661557736,13.715470041878904,500932000,0
2021-03-01,13.804479598999023,13.887505484201421,13.516756586694418,13.837639924881461,353184000,0
2021-03-02,13.370153427124023,13.883018601780469,13.359930934129926,13.862573615792273,264116000,0
2021-03-03,12.770273208618164,13.415281309667439,12.764288846423948,13.390099813568577,377592000,0
2021-03-04,12.33694076538086,12.940063005590508,12.051212237756168,12.766281601991693,573344000,0
2021-03-05,12.427948951721191,12.516210698049168,11.647804670384375,12.516210698049168,542840000,0
2021-03-08,11.562034606933594,12.437669835808746,11.535356070194894,12.416477281241482,543112000,-1
2021-03-09,12.49084758758545,12.587120409983385,12.030929765036829,12.101763126582322,521824000,0
2021-03-10,12.438970565795898,12.949518071359698,12.428245993141903,12.810345999896265,384376000,0
2021-03-11,12.962987899780273,13.015614616203285,12.70459626900852,12.919590101501337,299916000,0
2021-03-12,12.825810432434082,12.858483655591442,12.560435280974492,12.618547968351923,243964000,0
2021-03-15,13.160272598266602,13.175736267841275,12.737268498209911,12.834539384977663,221988000,0
2021-03-16,13.260037422180176,13.48076742613038,13.085946748883554,13.325133635235815,272128000,0
2021-03-17,13.309920310974121,13.421656807101401,12.958995974954899,13.009128022957645,243864000,1
2021-03-18,12.692622184753418,13.153038560381805,12.687135260856707,13.10565045243599,293896000,-1
2021-03-19,12.815584182739258,12.891156649154544,12.582882258581497,12.720059177066826,299208000,0
2021-03-22,13.155285835266113,13.363046869136511,12.876442148411773,12.882428576816894,297804000,0
2021-03-23,13.040055274963379,13.313161761620359,12.990671054992674,13.223123686816244,222048000,0
2021-03-24,12.613309860229492,13.128348149769211,12.60707510808042,13.120366563354045,245840000,0
2021-03-25,12.505812644958496,12.68489169587358,12.243181447543522,12.470147161467885,295144000,-1
2021-03-26,12.809100151062012,12.826060429118357,12.344444096114774,12.52501882364029,363968000,0
2021-03-29,12.91784381866455,13.0318257113899,12.670176769303595,12.79014413854927,273520000,0
2021-03-30,12.841523170471191,12.944780486955326,12.675164794869955,12.811843161738674,200204000,0
2021-03-31,13.316906929016113,13.438869474025383,12.952015446394338,12.98493795041153,314776000,0
2021-04-01,13.779315948486328,13.837428633427542,13.47952075210775,13.540378326389908,308276000,0
2021-04-05,13.954652786254883,13.98109030406936,13.70075005056824,13.834934701212315,255672000,0
2021-04-06,13.828949928283691,14.021247285946014,13.74115722627574,13.966875636926265,191744000,0
2021-04-07,14.110285758972168,14.210050348302799,13.679300107104046,13.848152176427948,251284000,0
2021-04-08,14.283378601074219,14.43751578364493,14.215537499466109,14.219279492238249,244416000,0
2021-04-09,14.366183280944824,14.374164867052535,14.141712232094443,14.180620204712,195172000,0
2021-04-12,15.173283576965332,15.316446916009982,14.106045892008561,14.256192762156132,869324000,0
2021-04-13,15.642678260803223,15.66313030176449,15.090228636123317,15.19573037905559,676212000,0
2021-04-14,15.24112606048584,15.68358417338725,15.191741835048305,15.58830843981458,385500000,0
2021-04-15,16.099355697631836,16.176174543167058,15.59479269878928,15.625720038310805,598480000,1
2021-04-16,15.875133514404297,16.12778893649542,15.827993724295668,16.015302699362998,335208000,0
2021-04-19,15.325675010681152,15.770378473292833,15.197227511913647,15.50001496525034,404420000,0
2021-04-20,15.13562297821045,15.460607402763602,14.927861975871348,15.287265504225546,334132000,0
2021-04-21,15.32442855834961,15.326423717038507,15.066784782879804,15.083245555639282,216776000,0
2021-04-22,14.815378189086914,15.402246992651268,14.748784409379738,15.338895702925118,277788000,-1
2021-04-23,15.229402542114258,15.298988579471885,14.865259906577531,14.899179508123058,227500000,0
2021-04-26,15.44165325164795,15.442651306791927,15.089482501049455,15.149342023817177,197796000,1
2021-04-27,15.34562873840332,15.633700354723333,15.318442441058986,15.541916393132006,164572000,0
2021-04-28,15.240875244140625,15.495776045491647,15.179769343819737,15.32841961480977,209416000,0
2021-04-29,15.288762092590332,15.400249314514156,15.03610669007181,15.363835052069922,173196000,0
2021-04-30,14.974254608154297,15.32892005243534,14.961784150637197,15.138868072545726,201912000,0
2021-05-03,14.801909446716309,15.210946506859448,14.752775448772729,15.089482529603162,203912000,0
2021-05-04,14.317546844482422,14.603124721663695,13.977348053602894,14.602875445776831,405324000,-1
2021-05-05,14.42454719543457,14.778714048157239,14.353713824890036,14.67445867543016,292024000,0
2021-05-06,14.488895416259766,14.53703230872678,14.184612294459988,14.461210566336748,193380000,0
2021-05-07,14.777467727661133,14.935595253298557,14.637297583950682,14.773477409774001,229328000,1
2021-05-10,14.232248306274414,14.771229410461338,14.216535362009177,14.752523252592804,268904000,0
2021-05-11,14.272652626037598,14.321038788865332,13.717709311727937,13.79253299041406,285584000,0
2021-05-12,13.726191520690918,14.226763272054539,13.677057522778034,13.97660155861911,303408000,0
2021-05-13,13.633159637451172,14.047684555705244,13.427393785260387,14.000794043152032,285404000,-1
2021-05-14,14.209551811218262,14.294352235526134,13.71621293372,13.8573811074486,258616000,0
2021-05-17,14.132233619689941,14.135974661011204,13.820966993683466,14.123753482025545,216980000,0
2021-05-18,13.98283576965332,14.370423641167854,13.971113142263782,14.233496008181893,186256000,0
2021-05-19,14.032720565795898,14.046438353806973,13.511447475679681,13.53464250646911,344000000,0
2021-05-20,14.57818603515625,14.64926868256999,14.23698913728333,14.268913581492626,321592000,0
2021-05-21,14.956543922424316,15.186253573106038,14.834581403727405,15.128139938116746,672992000,0
2021-05-24,15.575338363647461,15.708025457517751,15.140361412725197,15.176775675909605,554816000,0
2021-05-25,15.611005783081055,15.781354492246631,15.446143998949312,15.728978001330628,435408000,0
2021-05-26,15.663132667541504,15.756662521390002,15.54965027295146,15.697302499604442,370440000,0
2021-05-27,15.451627731323242,15.713012531445607,15.423693608606536,15.662880485803033,581476000,-1
2021-05-28,16.206350326538086,16.239273772555787,15.464597570582443,15.464597570582443,644536000,0
2021-06-01,16.22630500793457,16.349765085274548,15.865903423678555,16.23179288363082,472804000,0
2021-06-02,16.738849639892578,16.87902072588437,16.19737476490016,16.21408576604293,594168000,0
2021-06-03,16.929899215698242,17.21847129138276,16.544058155353124,16.66153180928474,580008000,0
2021-06-04,17.536970138549805,17.6195242253468,17.055353889049535,17.072312261295867,617120000,0
2021-06-07,17.57762336730957,17.77066947327341,17.152375810656235,17.529986933433783,575756000,1
2021-06-08,17.416006088256836,17.580119073947483,17.210488563686916,17.48609067722979,323848000,0
2021-06-09,17.32145881652832,17.537750510737887,17.219177055219557,17.478626213052866,381656000,-1
2021-06-10,17.38806915283203,17.454928494725102,17.13959823202485,17.313229247839505,287772000,0
2021-06-11,17.78746795654297,17.90122664018538,17.40677634605223,17.442450006436538,416308000,0
2021-06-14,17.980554580688477,18.00126064223166,17.62531020502997,17.868044477186118,321376000,0
2021-06-15,17.75078773498535,17.978055675419952,17.690416803610766,17.87702063266676,243032000,0
2021-06-16,17.772493362426758,17.91668776759478,17.547221960540842,17.75303587293319,307124000,0
2021-06-17,18.617700576782227,18.79507342417138,17.71861140852497,17.73682223567558,809656000,0
2021-06-18,18.599245071411133,19.333934506526916,18.54461067298054,18.744187532434825,968856000,0
2021-06-21,18.3881893157959,18.497208756661593,17.784970868678347,18.396171779438607,672384000,0
2021-06-22,18.846715927124023,18.923554282225197,18.347027754098903,18.43234723947505,580144000,0
2021-06-23,19.01685333251953,19.112151844778943,18.86767033492806,18.96745874513874,332356000,0
2021-06-24,19.1647891998291,19.37883494435877,19.047787296454818,19.186993162621945,320924000,0
2021-06-25,18.990665435791016,19.304499684885087,18.854455330590444,19.239636914325033,278364000,0
2021-06-28,19.942642211914062,20.03619350789944,19.27805343979919,19.320213570767862,495436000,0
2021-06-29,19.984304428100586,20.056150425285473,19.61533712836884,19.840359294024715,367632000,0
2021-06-30,19.960100173950195,20.11976086120901,19.821644213543898,19.956856941335825,326568000,0
2021-07-01,20.169157028198242,20.412639309870123,19.9765653336419,20.082341546483036,480136000,0
2021-07-02,20.443572998046875,20.461785729384548,20.244746081288724,20.396922977659543,342764000,0
2021-07-06,20.65462303161621,20.797818216251603,20.30711181481175,20.693539917909025,446708000,1
2021-07-07,20.328569412231445,20.830752832876307,20.288904519997132,20.809298770243622,418428000,0
